year,country,cpi,inflation,gdp,ctry_temp ,prec,glob_temp,CO2
1961,brn,0,0,0,30.55,2682.3,0.06,
1962,brn,0,0,0,30.2,3502.8,0.03,
1963,brn,0,0,0,30.11,3156.73,0.05,
1964,brn,0,0,0,30.36,2827.25,0.2,
1965,brn,0,0,1059,30.3,3476.85,0.11,
1966,brn,0,0,1179.05,30.67,3351.18,0.06,
1967,brn,0,0,1181.94,30.47,3146.21,0.02,
1968,brn,0,0,1309.98,30.48,2821.93,0.08,
1969,brn,0,0,1259.34,30.55,2935.61,0.05,
1970,brn,0,0,1342.99,30.43,3022.58,0.03,
1971,brn,0,0,1424.47,30.57,3093.26,0.08,
1972,brn,0,0,1882.2,31.08,2631.2,0.01,
1973,brn,0,0,2905.41,31.01,3318.45,0.16,
1974,brn,0,0,6957.19,30.6,3341.83,0.07,
1975,brn,0,0,7317.77,30.69,3112.37,0.01,
1976,brn,0,0,8621.12,30.28,2848.76,0.1,
1977,brn,49.4,0,10159.01,30.3,3276.9,0.18,
1978,brn,0,0,11020.68,30.61,2405.38,0.07,
1979,brn,0,0,15409.83,30.72,3282.93,0.16,
1980,brn,58.39,0,26228.08,30.79,3335.36,0.26,
1981,brn,63.72,9.14,22494.86,30.99,3587,0.32,
1982,brn,67.77,6.36,21254.06,31.06,2778.48,0.14,
1983,brn,68.56,1.17,18526.29,31.22,3037.34,0.31,
1984,brn,70.67,3.07,17619.33,30.41,3751.04,0.16,
1985,brn,72.34,2.35,15863.26,30.73,3059.5,0.12,
1986,brn,73.62,1.78,10262.93,30.68,3164.55,0.18,
1987,brn,74.54,1.25,11587.49,30.96,2623.65,0.32,
1988,brn,75.43,1.19,10949.8,30.67,3901.72,0.39,
1989,brn,76.41,1.3,11762.35,30.62,2882.44,0.27,
1990,brn,78.05,2.14,13440.67,30.98,2556.29,0.45,12.45
1991,brn,79.3,1.6,13717.39,30.83,2581.59,0.4,12.54
1992,brn,80.31,1.28,15080.72,30.88,2456.84,0.22,12.92
1993,brn,83.73,4.25,14420.59,30.75,2642.56,0.23,13.8
1994,brn,85.79,2.46,14000.45,30.82,2777.29,0.31,14.61
1995,brn,90.91,5.97,15827.99,30.7,3306.6,0.45,15.38
1996,brn,92.72,2,16706.47,30.63,3512.46,0.33,15.77
1997,brn,94.31,1.71,16593.43,31.02,2745.73,0.46,16.68
1998,brn,93.89,0.44,12653.81,31.27,2794.69,0.61,14.11
1999,brn,93.5,0.42,14065.7,30.87,3854.86,0.38,13.55
2000,brn,94.96,1.56,17971.89,30.96,3632.07,0.39,14.13
2001,brn,95.53,0.6,16437.42,31.07,3409.16,0.53,13.82
2002,brn,93.31,2.31,16817.24,31.22,2743.31,0.63,13.3
2003,brn,93.59,0.3,18521.37,30.96,3070.88,0.62,15.58
2004,brn,94.36,0.81,21839.26,30.92,2768.12,0.53,14.16
2005,brn,95.53,1.24,25991.21,31.08,3234.08,0.68,13.61
2006,brn,95.68,0.16,30767.75,31.02,3528.55,0.64,20.17
2007,brn,96.61,0.97,32337.27,30.85,3585.94,0.66,18.86
2008,brn,98.62,2.08,37427.54,30.63,4027.02,0.54,20.58
2009,brn,99.64,1.04,27497.55,31.06,3635.22,0.66,20.17
2010,brn,100,0.36,34609.71,30.97,3872.29,0.72,18.11
2011,brn,100.14,0.14,46139.11,30.92,3821.04,0.61,18.26
2012,brn,100.25,0.11,46844.2,31.25,3356.61,0.65,17.95
2013,brn,100.64,0.39,43950.05,31.29,3472.45,0.68,17.51
2014,brn,100.43,0.21,41035.78,31.1,3203.68,0.74,16.99
2015,brn,99.94,0.49,30681.43,31.36,2862.4,0.9,15.18
2016,brn,99.66,0.28,26762.04,31.65,2552.39,1.02,16.36
2017,brn,98.41,1.26,28186.99,31.3,3853.43,0.92,16.94
2018,brn,99.42,1.03,31240.5,31.47,3621.08,0.85,17.36
2019,brn,99.03,0.39,30748.31,31.6,2971.42,0.98,16.11
2020,brn,100.95,1.94,27179.35,31.49,3655.16,1.01,21.71
2021,brn,102.7,1.73,31448.91,31.42,3622.15,0.85,
2022,brn,106.48,3.68,37152.48,31.22,4029.16,0.89,
1961,cam,0,0,113.49,31.42,2195.56,0.06,
1962,cam,0,0,114.01,31.45,2050.69,0.03,
1963,cam,0,0,123.2,31.47,1864.6,0.05,
1964,cam,0,0,129.59,31.3,1918.36,0.2,
1965,cam,0,0,140.76,31.37,1665.29,0.11,
1966,cam,0,0,145.14,31.69,2098.97,0.06,
